year,cpi_index,cpi_base_year,median_home_price_nominal,real_median_home_price,real_median_household_income,home_price_to_real_income_ratio,median_home_price_to_median_household_income_ratio,mortgage_rate_annual_avg,case_shiller_index,real_home_price_index,case_shiller_index_first_available,case_shiller_relative_to_cpi,shelter_cpi,transportation_services_cpi
2006,201.5583333333333,2024,243750.0,379363.7646256254,71850.0,5.279941052548718,5.279941052548718,6.413269230769231,183.48141666666666,205.23948500528033,276.92417018097484,91.03142183817754,232.13333333333333,230.75833333333333
2007,207.34416666666667,2024,244950.0,370593.33358787524,73010.0,5.075925675768733,5.075925675768733,6.337307692307693,179.94191666666666,200.4945965438361,271.5820863985269,86.78417124507159,240.60141666666667,233.7335833333333
2008,215.25424999999998,2024,229550.0,334531.9042868299,70520.0,4.743787638780911,4.743787638780911,6.027169811320754,164.0585,180.98501268675696,247.60962063080206,76.21614904235341,246.654,244.04908333333333
2009,214.56466666666665,2024,215650.0,315284.9473895982,70070.0,4.499571105888371,4.499571105888371,5.036538461538461,148.55225,170.57222187790111,224.20640360817674,69.23425571777895,249.35666666666668,251.04791666666665
2010,218.0761666666667,2024,222700.0,320349.4576436214,68420.0,4.6821025671385765,4.6821025671385765,4.689807692307692,144.66108333333332,173.31217116474315,218.33355762857462,66.33511838753584,248.3936666666667,259.83441666666664
2011,224.923,2024,224900.0,313666.08876519225,67410.0,4.653109164295984,4.653109164295984,4.447884615384615,139.23375000000001,169.6964036228358,210.1422115678489,61.90285119796554,251.64475000000002,268.01275000000004
2012,229.58608333333333,2024,244400.0,333939.3695828689,67400.0,4.954590053158292,4.954590053158292,3.6574999999999998,140.97799999999998,180.66444565102879,212.77476691112747,61.405289882190154,257.0805,272.89116666666666
2013,232.95174999999998,2024,266225.0,358504.68786275847,69950.0,5.125156366872887,5.125156366872887,3.9755769230769227,154.51183333333333,193.9545216753713,233.20106202748642,66.32782682823088,263.0503333333333,280.0423333333334
2014,236.715,2024,285775.0,378713.1934147252,69060.0,5.483828459523967,5.483828459523967,4.168867924528302,164.66633333333334,204.8875196550414,248.52700912986444,69.56311739151863,270.50933333333336,285.2618333333333
2015,237.00175000000002,2024,294150.0,389340.2294497825,72790.0,5.34881480216764,5.34881480216764,3.8505769230769227,172.14733333333334,210.6368494707662,259.81790580354505,72.63546928802565,278.8020833333333,291.03066666666666
2016,240.00541666666666,2024,305125.0,398812.47029146913,75380.0,5.2906934238719705,5.2906934238719705,3.6540384615384616,180.89083333333335,215.7614238594463,273.0142639196159,75.36947950827499,288.233,299.4170833333333
2017,245.121,2024,322425.0,412629.40093872003,76710.0,5.379082270091514,5.379082270091514,3.9898076923076924,191.3563333333333,223.2365176739384,288.8095959792877,78.0660707704902,297.8086666666667,309.89866666666666
2018,251.0995,2024,325275.0,406365.4892283736,77700.0,5.229929076298244,5.229929076298244,4.544615384615384,202.42791666666668,219.84768053811248,305.5196753043393,80.61661479479915,307.65633333333335,321.77683333333334
2019,255.65258333333335,2024,320250.0,392962.34196081856,83260.0,4.719701440797725,4.719701440797725,3.935769230769231,209.40133333333333,212.5964475550214,316.0444884370562,81.90855363284352,318.04791666666665,324.98475
2020,258.85575,2024,328150.0,397673.42773597525,81580.0,4.874643634910214,4.874643634910214,3.111698113207547,222.06316666666666,215.14519076264708,335.1546945413246,85.78645313718806,325.901,312.9195
2021,270.97341666666665,2024,383000.0,443388.13493697566,81270.0,5.455741785861642,5.455741785861642,2.957692307692308,259.96591666666666,239.87729181705214,392.36042023285614,95.93779340593373,334.584,324.0978333333333
2022,292.62641666666667,2024,432950.0,464126.3177994013,79500.0,5.8380668905585065,5.8380668905585065,5.344038461538461,298.32533333333333,251.09685037143828,450.2553821424933,101.94750587851347,354.23766666666666,357.7495833333333
2023,304.70300000000003,2024,426525.0,439116.48568442056,82690.0,5.310394070436819,5.310394070436819,6.806730769230769,305.7504166666667,237.56628804055077,461.4618851113658,100.3437500341863,380.6375,396.2884166666667
2024,313.6981666666667,2024,418975.0,418975.0,83730.0,5.003881523946017,5.003881523946017,6.721153846153846,321.367,226.66954846082007,485.0316256290224,102.44465353904417,400.56675,432.2101666666667
2025,321.9619090909091,2024,415400.0,404737.9977379218,,,,6.595094339622642,328.51608333333337,218.96719181858379,495.8215683142515,102.03569865172268,415.1380909090909,446.28254545454547
2026,328.1136666666667,2024,403200.0,385485.6217509989,,,,6.174705882352941,326.835,208.5514692295182,493.28434892960854,99.61029765091568,422.992,457.68399999999997
